1027,17.47274,78.56946,ECIL X Road,327
1433,17.48153,78.57598,kushaiguda,327
2178,17.48018,78.58178,Nagarjuna nagar,327
1946,17.47928,78.58539,Chakri Colony,327
2150,17.48238,78.59471,Vijaya Hospital,327
2151,17.48788,78.60086,Nagaram,327
2156,17.49368,78.60572,Rampally X Road,327
2157,17.48843,78.61293,Satyanarayana Garden,327
2158,17.47964,78.62324,Rtc Colony,327
2159,17.478,78.6259,R L Nagar,327
2160,17.4672,78.64193,Rampally  Village,327
2161,17.45643,78.65909,Pogula Gudem,327
2162,17.44371,78.67159,Milestone,327
2163,17.445,78.67385,ShivaReddy Guda,327
2164,17.45203,78.68232,Ghatkesar,327

