1027,17.47274,78.56946,ECIL X Road,1279
1028,17.47763,78.56231,Radhika,1279
1029,17.48003,78.55683,A S Rao Nagar,1279
1030,17.48142,78.55454,Rukmini Puram,1279
3999,17.47562,78.55191,SAINATHAPURAM,1279
4002,17.46934,78.54934,OLD SAFILGUDA,1279
2012,17.46904,78.53908,Vinayaka Nagar,1279
2014,17.46034,78.53559,Safilguda,1279
2015,17.45804,78.53672,Anand Bagh,1279
2016,17.44968,78.53658,Malkajgiri,1279
2021,17.43931,78.52565,New Bridge,1279
1286,17.43519,78.51428,Alagadda Baavi,1279
3846,17.43602,78.50027,Secunderabad Gurudwara,1279
1587,17.4429,78.496,PAtny,1279
1585,17.44401,78.48728,ParadiSe,1279
829,17.45634,78.48404,Tad Bund,1279
830,17.46287,78.47228,New Bowenpally,1279
832,17.46367,78.4526,Shobana,1279
1250,17.46821,78.44617,Bala Nagar,1279
1463,17.48743,78.45009,IDPL Colony,1279
1086,17.49544,78.45234,Chintal,1279
1083,17.51588,78.44689,Shapur Nagar,1279
1068,17.52685,78.43976,Jeedimetla,1279
1346,17.53209,78.44453,sr naik nagar,1279
1347,17.53073,78.44937,apurupa colony,1279

