1215,17.43702,78.44294,saradhi studio,878
1216,17.43633,78.43928,state home,878
941,17.43648,78.43389,Yousufguda Basti,878
942,17.43688,78.4282,Yousufguda Checkpost,878
943,17.43269,78.42651,Krishna Nagar,878
940,17.43064,78.42103,Venkatagiri,878
334,17.42869,78.41307,Jubilee Hills Checkpost,878
314,17.42979,78.41068,Usha kiran,878
332,17.43111,78.4074,Peddamma Temple,878
331,17.43944,78.39594,Madhapur PS,878
317,17.44093,78.39126,Madhapur petrol bunk,878
318,17.44648,78.38487,Madhapur Image Hospital,878
319,17.45238,78.38021,Hitech Shilparamam,878
320,17.45547,78.37764,Hitex Kaman,878
321,17.45771,78.37153,Satyam/Jayabheri,878
322,17.45951,78.36616,Kothaguda X Road,878
497,17.46659,78.36715,Kondapur,878
498,17.47873,78.36152,Cr Foundation,878
376,17.48633,78.35781,Hafeezpet  ,878
377,17.49323,78.35175,Allwyn X Road,878

